,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
0,1631495,Donovan,Williams,Donovan Williams,"Williams, Donovan",D. Williams,donovan-williams,2001-09-06T00:00:00,UNLV,USA,UNLV/USA,6-6,190,0,,Guard,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,donovan_williams,2022,2022,Y,N,N,Undrafted,Undrafted,Undrafted,N
0,1630552,Jalen,Johnson,Jalen Johnson,"Johnson, Jalen",J. Johnson,jalen-johnson,2001-12-18T00:00:00,Duke,USA,Duke/USA,6-8,219,1,1,Forward,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,jalen_johnson,2021,2022,Y,Y,Y,2021,1,20,N
0,1630235,Trent,Forrest,Trent Forrest,"Forrest, Trent",T. Forrest,trent-forrest,1998-06-12T00:00:00,Florida State,USA,Florida State/USA,6-4,210,2,2,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,trent_forrest,2020,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1628988,Aaron,Holiday,Aaron Holiday,"Holiday, Aaron",A. Holiday,aaron-holiday,1996-09-30T00:00:00,UCLA,USA,UCLA/USA,6-0,185,4,3,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,aaron_holiday,2018,2022,N,Y,Y,2018,1,23,N
0,1627749,Dejounte,Murray,Dejounte Murray,"Murray, Dejounte",D. Murray,dejounte-murray,1996-09-19T00:00:00,Washington,USA,Washington/USA,6-5,180,5,5,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,dejounte_murray,2016,2022,Y,Y,Y,2016,1,29,N
0,1629027,Trae,Young,Trae Young,"Young, Trae",T. Young,trae-young,1998-09-19T00:00:00,Oklahoma,USA,Oklahoma/USA,6-1,164,4,11,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,trae_young,2018,2022,N,Y,Y,2018,1,5,N
0,1629631,De'Andre,Hunter,De'Andre Hunter,"Hunter, De'Andre",D. Hunter,deandre-hunter,1997-12-02T00:00:00,Virginia,USA,Virginia/USA,6-8,221,3,12,Forward-Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,deandre_hunter,2019,2022,N,Y,Y,2019,1,4,N
0,203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,bogdan-bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-5,225,5,13,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,bogdan_bogdanovic,2017,2022,N,Y,Y,2014,1,27,N
0,1631100,AJ,Griffin,AJ Griffin,"Griffin, AJ",A. Griffin,aj-griffin,2003-08-25T00:00:00,Duke,USA,Duke/USA,6-6,220,0,14,Forward,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,aj_griffin,2022,2022,N,Y,Y,2022,1,16,N
0,203991,Clint,Capela,Clint Capela,"Capela, Clint",C. Capela,clint-capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,Elan Chalon/Switzerland,6-10,256,8,15,Center,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,clint_capela,2014,2022,Y,Y,Y,2014,1,25,N
